Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Day,Day_of_Week,Week,Revenue,Price_Difference,Inventory_Turnover
2022-01-01,S001,P0001,3,1,-0.334515865737783,-0.086898516165462,55,135.47,-0.8314234967321839,20,1,0,29.69,0,2022,1,1,5,52,-0.43417487524368636,3.8099999999999987,0.5497835497835498
2022-01-01,S001,P0002,4,2,-0.5422902838629695,0.12426823658860797,66,144.04,0.30262710069301435,20,3,0,66.16,0,2022,1,1,5,52,0.2553157043630896,-3.1499999999999986,0.7352941176470589
2022-01-01,S001,P0003,4,3,-1.3272158634470073,-0.6561306322851289,51,74.02,-1.0431693046553572,10,3,1,31.32,2,2022,1,1,5,52,-0.7572483762884122,-3.330000000000002,0.6372549019607843
2022-01-01,S001,P0004,4,1,1.4969771532916383,-0.6928552849380106,164,62.18,-0.8613984023909997,10,0,1,34.74,0,2022,1,1,5,52,-0.733822678454822,-2.020000000000003,0.1300639658848614
2022-01-01,S001,P0005,1,0,-0.8347135390021208,-1.124369953609371,135,9.26,0.711131263709953,0,3,0,68.95,2,2022,1,1,5,52,-0.8618447738362641,4.689999999999998,0.08433734939759036
2022-01-01,S001,P0006,3,2,-1.0501833059467587,-0.07771735300224157,102,139.82,0.8337209419812638,10,3,1,79.35,3,2022,1,1,5,52,0.30609415817080504,-2.519999999999996,0.927536231884058
2022-01-01,S001,P0007,2,0,0.6504887831519899,-0.362333411062075,167,108.92,-0.8060601150208784,10,1,1,36.55,3,2022,1,1,5,52,-0.5590155228477627,-2.3900000000000006,0.27019498607242337
2022-01-01,S001,P0008,0,1,0.8120911083604682,1.6116166690303182,54,329.73,1.6468863313922157,5,0,0,100.09,1,2022,1,1,5,52,3.0575078418068,-2.1000000000000085,0.8210526315789474
2022-01-01,S001,P0009,1,3,-0.7038926090714478,0.3537973156691188,135,174.15,-1.3217822098174274,10,0,0,17.66,0,2022,1,1,5,52,-0.5170941771975511,3.0799999999999983,0.9562841530054644
2022-01-01,S001,P0010,4,2,-1.281043770530299,-0.995833669324285,196,24.47,0.18657041468067634,0,1,1,61.21,3,2022,1,1,5,52,-0.7757732116993212,-1.2199999999999989,0.25925925925925924
2022-01-01,S001,P0011,2,2,-0.12674144761259656,0.12426823658860797,153,152.74,0.1304635399859698,10,3,1,61.42,1,2022,1,1,5,52,0.16616087090229423,-2.8900000000000006,0.5813953488372093
2022-01-01,S001,P0012,0,3,-1.6042484209472558,-1.0325583219771666,70,26.75,0.11970331744177945,20,2,0,62.21,1,2022,1,1,5,52,-0.8131492528936297,-3.960000000000001,0.36363636363636365
2022-01-01,S001,P0013,4,2,-1.3733879563637152,-0.8672973850391988,85,41.46,-0.4432868978167483,0,0,0,46.31,1,2022,1,1,5,52,-0.755676226323367,-2.710000000000001,0.4375
2022-01-01,S001,P0014,0,3,-0.6269391208769344,-1.142732279935812,187,6.8,0.8829105307547052,0,3,0,80.06,1,2022,1,1,5,52,-0.8742680753322,-1.9500000000000028,0.06217616580310881
2022-01-01,S001,P0015,0,1,0.8043957595410168,2.134942969333883,154,363.46,1.4547395002459607,15,2,0,95.8,3,2022,1,1,5,52,3.5537539931784705,-2.8100000000000023,0.9736147757255936
2022-01-01,S001,P0016,1,1,0.6812701784297952,1.0882903687267536,69,255.74,-1.2772041449914961,5,0,1,20.27,0,2022,1,1,5,52,-0.2577226006858622,1.629999999999999,0.7024793388429752
2022-01-01,S001,P0017,4,3,0.3349794815544845,1.0056599002577695,177,255.37,-1.3091005189617744,20,3,0,16.49,3,2022,1,1,5,52,-0.31096077266673716,4.580000000000002,0.7735849056603774
2022-01-01,S001,P0018,0,2,-0.2575623775432695,0.1334493997518284,47,147.27,-1.366744568305651,5,0,0,23.13,0,2022,1,1,5,52,-0.6065714009043431,-3.5599999999999987,0.6265560165975104
2022-01-01,S001,P0019,0,0,0.5966213414158303,1.1066526950531943,186,267.38,0.6972966918674227,10,0,0,77.26,3,2022,1,1,5,52,1.4999622875760554,-3.980000000000004,0.7301136363636364
