Date,Price,ml_price,Units_Sold,xgb_pred_demand,lgb_pred_demand,xgb_revenue,lgb_revenue
2022-01-01,85.88,87.86280000000001,51,49.129227,47.22473843549391,4316.631418341065,4149.297748210115
2022-01-01,58.53,62.6484,150,144.98471,142.6728252305685,9083.060149401856,8938.224224174748
2022-01-01,97.09,97.716,126,118.45935,114.71175089082253,11575.373901855468,11209.173450047614
2022-01-01,63.01,67.4832,150,150.62617,152.51949113886744,10164.736287817383,10292.503324422418
2022-01-01,27.99,31.9464,65,69.01808,61.31335442717007,2204.879244104004,1958.7409458721459
2022-01-01,32.72,35.4348,61,57.737236,55.84479523265236,2045.9074110260012,1978.84915010999
2022-01-01,73.64,70.32900000000001,14,13.111715,17.816710828991333,922.1338265132905,1253.0314558921316
2022-01-01,76.83,80.937,128,128.96935,110.74338974273147,10438.391883773804,8963.237735607456
2022-01-01,34.16,37.281,97,83.25661,83.19207925472251,3103.8895676422117,3101.48390669531
2022-01-01,97.99,102.0918,312,325.49152,318.63013497725143,33230.01476473389,32529.52401407056
2022-01-01,83.29,82.25280000000001,156,166.4427,162.08843520553359,13690.378381640627,13332.227643273714
2022-01-01,20.74,18.0132,175,163.77547,166.06970935738718,2950.120240704346,2991.446888596487
2022-01-01,58.25,63.4542,24,20.522219,20.318606451162943,1302.2209701015472,1289.3009174733836
2022-01-01,26.19,28.621199999999998,63,46.518337,45.39776063410295,1331.4106340927124,1299.3383866607874
2022-01-01,43.6,47.236200000000004,42,31.925423,34.813570346331026,1508.0356502517702,1644.4607715933619
2022-01-01,92.99,97.716,369,379.27643,360.25573739248233,37061.375460205076,35202.7496350438
2022-01-01,21.9,20.6754,255,258.88812,265.9918662471214,5352.615489147949,5499.488231405733
2022-01-01,21.07,16.819799999999997,246,241.94592,256.15126304403856,4069.4820331787105,4308.413014148119
2022-01-01,19.57,23.5926,151,142.67935,138.29591741965083,3366.17687543335,3262.7602613148542
2022-01-01,73.28,78.80520000000001,257,255.7598,267.9317273526609,20155.2018869751,21114.413360371916
2022-01-01,30.24,27.642000000000003,99,88.63562,88.97085328637561,2450.065811279297,2459.332326541995
2022-01-01,59.99,62.434200000000004,28,26.75408,31.094148980778847,1670.369570218277,1941.3383162957427
2022-01-01,32.8,31.3956,104,107.54365,103.19356247689039,3376.3973478057865,3239.8238100994604
2022-01-01,78.11,81.66120000000001,12,13.911926,15.124101944920085,1136.0645934814454,1235.0523137445082
