Actual_Revenue,Predicted_Revenue,Error,Error_Percent
407.51,433.31389589378705,-25.803895893787058,-6.332089002426213
1069.78,1076.0680894479765,-6.2880894479765175,-0.5877927656131652
920.43,971.8797011372512,-51.44970113725128,-5.589746220489476
1189.34,1140.5204781301047,48.8195218698952,4.104757417550507
615.2,563.4819702021081,51.71802979789197,8.40670185271326
127.71,122.65442842530894,5.055571574691058,3.958634073049141
217.85,256.17009770848284,-38.32009770848285,-17.590129772083017
818.67,905.4758997546684,-86.80589975466842,-10.603283344286272
923.22,901.0529470775875,22.167052922412495,2.4010585691831303
371.24,344.40537768970603,26.83462231029398,7.228375797407064
101.06,101.41840343168855,-0.3584034316885436,-0.3546442031353093
1260.41,1344.7627882330657,-84.35278823306567,-6.692488018427786
2248.48,2244.7975778080363,3.682422191963724,0.16377384686382462
1120.9,1047.7077845691251,73.19221543087497,6.529772096607633
380.72,349.195472232278,31.52452776772202,8.280239485112949
1560.8,1577.0563715999367,-16.256371599936756,-1.0415409789810839
604.79,590.2259225625378,14.564077437462174,2.4081214037041243
1375.27,1408.7266266076874,-33.45662660768744,-2.4327315078266407
582.28,605.4979563690641,-23.217956369064154,-3.9874212353273606
2485.52,2606.5972865711014,-121.07728657110147,-4.8713060675875255
748.63,643.5857976382274,105.04420236177259,14.031524566444384
1017.03,924.1772532012669,92.85274679873305,9.1297942832299
333.41,308.4803638496816,24.9296361503184,7.477171095743499
717.1,721.4044537885438,-4.30445378854381,-0.6002585118594074
1544.96,1501.25607201503,43.70392798497005,2.8288064406178832
173.25,177.564883119514,-4.314883119514008,-2.4905530271365124
199.24,205.7345487666475,-6.494548766647483,-3.2596610954865906
1968.9,1910.286451719782,58.61354828021808,2.976969286414652
34.36,29.70900644245813,4.65099355754187,13.536069725092753
1133.36,1137.6632897872944,-4.303289787294489,-0.3796931060999585
472.06,442.9712336908513,29.088766309148696,6.162090901399969
1499.01,1495.047055347088,3.9629446529120287,0.2643707949187816
616.67,671.7621365029709,-55.0921365029709,-8.933811682580782
297.16,304.14780931686363,-6.987809316863604,-2.3515309317753412
1167.99,1197.9504458924453,-29.96044589244525,-2.5651286305914645
12.51,8.109110505629383,4.400889494370617,35.17897277674354
1755.04,1827.3851413775658,-72.34514137756582,-4.122136326098882
295.86,264.6810888503115,31.17891114968853,10.538400307472633
1521.8,1525.4993985163314,-3.6993985163314846,-0.24309360732891871
663.15,695.5094015809462,-32.35940158094627,-4.87965039296483
709.3,639.4111983603749,69.88880163962506,9.853207618726218
1052.72,1069.1972375438838,-16.477237543883803,-1.565206089357455
562.14,546.7496649103007,15.390335089699306,2.737811771035562
687.2,647.8599342481225,39.340065751877546,5.724689428387303
1361.45,1499.1881287272172,-137.73812872721714,-10.117017057344531
77.74,88.32283194180654,-10.582831941806546,-13.613110293036465
204.81,189.01853675800933,15.79146324199067,7.710298931688232
312.75,300.7678059652634,11.982194034736608,3.8312371014345667
1679.81,1701.9790870295533,-22.16908702955334,-1.3197377697211792
1702.66,1692.7871489274044,9.872851072595722,0.5798486528488201
266.44,251.42992935529372,15.010070644706275,5.633565022033581
149.46,157.76307284189545,-8.303072841895442,-5.555381267158733
985.99,1041.7683421799343,-55.77834217993427,-5.657090049588157
873.76,907.2789147886763,-33.518914788676284,-3.8361695189384135
1429.86,1495.7383806219918,-65.87838062199194,-4.607330831129757
1240.88,1279.2853441812601,-38.405344181260034,-3.095008718108119
115.84,114.64391241681311,1.1960875831868947,1.0325341705687971
985.82,1007.4374286056171,-21.61742860561708,-2.1928372933818623
70.28,62.66902310540891,7.61097689459109,10.829506110687378
454.01,477.4471689785903,-23.437168978590307,-5.162258315585628
299.84,293.40578236249337,6.434217637506606,2.1458836838002293
276.27,267.7279310082501,8.542068991749886,3.0919278212436696
46.72,44.35436583306584,2.365634166934157,5.063429295663864
1238.03,1251.8282326936394,-13.79823269363942,-1.1145313678698756
269.77,268.08640241935194,1.6835975806480405,0.6240862885598994
195.3,187.03765802393352,8.262341976066494,4.230589849496413
24.96,28.688776701681434,-3.728776701681433,-14.939009221480099
128.32,123.90889386863189,4.411106131368101,3.4375827083604276
424.93,409.1001152924523,15.829884707547706,3.7252923322777174
827.86,768.5987074166197,59.26129258338028,7.158371292655796
485.13,485.6426721169827,-0.5126721169826851,-0.105677265265534
57.82,52.162885137103004,5.6571148628969965,9.784010485812862
1289.51,1161.7117322172248,127.79826778277516,9.91060695789681
418.24,422.9015598129778,-4.661559812977771,-1.1145657548244479
937.9,927.9381959390345,9.961804060965505,1.0621392537547185
456.95,424.6638215998634,32.28617840013658,7.065582317570102
289.15,301.8165560829367,-12.666556082936722,-4.380617701171269
921.65,901.2186093620593,20.431390637940694,2.2168274982846734
2732.72,2635.3371288139033,97.38287118609651,3.563587604514788
1125.38,1063.190905513318,62.18909448668205,5.526052932048024
1157.59,1161.828784941063,-4.238784941063159,-0.3661732514157136
1034.78,1140.1011629353736,-105.32116293537365,-10.178121236917379
2258.02,2404.8245230258194,-146.80452302581944,-6.501471334435453
715.34,726.4651299952695,-11.125129995269504,-1.5552226906463364
83.91,78.98873177491919,4.921268225080809,5.864936509451566
1657.12,1669.8409103460808,-12.720910346080927,-0.7676517298735714
1360.17,1498.7302364068564,-138.56023640685635,-10.18697930456166
764.32,749.5236933874577,14.796306612542367,1.935878508025744
2582.2,2470.468736330769,111.73126366923088,4.326979462056808
446.4,442.6996402007011,3.7003597992988944,0.8289336467963473
