OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,TotalAmount,City,SellerID,demand,inventory,adjusted_price,original_revenue,new_revenue,price_change,price_change_percent,day_of_week
ORD0075722,2022-12-22,CUST006588,P00003,4,298.45,0.05,1144.54,Columbus,SELL01349,high,18,447.675,1193.8,1790.7,149.22500000000002,50.000000000000014,Thursday
ORD0080185,2023-05-12,CUST005827,P00032,2,154.48,0.0,341.31,Jacksonville,SELL00680,high,127,183.445,308.96,366.89,28.965000000000003,18.750000000000004,Friday
ORD0019865,2021-09-08,CUST019087,P00014,3,400.34,0.05,1243.58,Chicago,SELL00556,low,78,392.3332,1201.02,1176.9995999999999,-8.006799999999998,-1.9999999999999998,Wednesday
ORD0076700,2023-03-12,CUST000432,P00034,1,175.53,0.1,175.42,Houston,SELL00299,high,127,229.28606249999999,175.53,229.28606249999999,53.756062499999985,30.624999999999993,Sunday
ORD0092992,2022-09-10,CUST011736,P00016,5,190.37,0.0,1077.22,Charlotte,SELL01625,high,109,248.6708125,951.85,1243.3540625,58.300812500000006,30.625000000000004,Saturday
ORD0076435,2023-11-03,CUST032187,P00029,2,424.7,0.05,851.0,San Diego,SELL00488,high,45,530.875,849.4,1061.75,106.17500000000001,25.000000000000007,Friday
ORD0084005,2024-04-11,CUST035153,P00041,1,559.84,0.05,627.85,Jacksonville,SELL00670,high,129,664.8100000000001,559.84,664.8100000000001,104.97000000000003,18.750000000000004,Thursday
ORD0080918,2020-03-21,CUST038251,P00014,2,472.76,0.0,1120.45,Charlotte,SELL00247,high,46,650.0450000000001,945.52,1300.0900000000001,177.28500000000008,37.500000000000014,Saturday
ORD0060768,2020-06-02,CUST031537,P00044,5,49.75,0.0,269.29,Denver,SELL01569,high,23,62.1875,248.75,310.9375,12.4375,25.0,Tuesday
ORD0050075,2023-04-18,CUST048050,P00013,3,143.0,0.05,454.76,Phoenix,SELL00630,high,13,214.5,429.0,643.5,71.5,50.0,Tuesday
ORD0027702,2021-07-19,CUST022658,P00040,4,170.81,0.0,752.44,Seattle,SELL00611,low,42,167.3938,683.24,669.5752,-3.4162000000000035,-2.000000000000002,Monday
ORD0042142,2024-08-23,CUST049749,P00009,4,454.38,0.05,1877.71,Chicago,SELL00234,high,130,539.57625,1817.52,2158.305,85.19624999999996,18.749999999999993,Friday
ORD0045081,2024-11-29,CUST026335,P00021,4,570.85,0.15,2176.73,Chicago,SELL00743,high,114,677.884375,2283.4,2711.5375,107.03437499999995,18.749999999999993,Friday
ORD0016639,2024-04-27,CUST019133,P00011,4,506.81,0.0,2277.99,Fort Worth,SELL01111,low,33,546.34118,2027.24,2185.36472,39.531180000000006,7.800000000000002,Saturday
ORD0020425,2023-01-17,CUST037283,P00041,1,430.91,0.05,439.3,Indianapolis,SELL01767,high,143,511.705625,430.91,511.705625,80.79562499999997,18.749999999999993,Tuesday
ORD0088703,2022-05-04,CUST012715,P00028,1,158.95,0.05,178.53,Dallas,SELL00374,high,39,198.6875,158.95,198.6875,39.73750000000001,25.00000000000001,Wednesday
ORD0000150,2022-11-22,CUST033670,P00009,3,43.8,0.0,148.14,Columbus,SELL00027,low,124,40.7778,131.39999999999998,122.3334,-3.022199999999998,-6.899999999999997,Tuesday
ORD0001762,2020-01-25,CUST029395,P00031,5,490.78,0.1,2482.07,Phoenix,SELL01629,high,113,641.0813749999999,2453.8999999999996,3205.406874999999,150.3013749999999,30.62499999999998,Saturday
ORD0063121,2020-12-10,CUST022502,P00014,3,34.14,0.0,119.25,San Diego,SELL00121,low,10,40.14864,102.42,120.44592,6.00864,17.599999999999998,Thursday
ORD0069162,2023-12-13,CUST043877,P00044,2,254.46,0.0,614.1,Philadelphia,SELL01258,high,43,318.075,508.92,636.15,63.61499999999998,24.999999999999993,Wednesday
ORD0064884,2021-03-12,CUST026325,P00009,4,509.2,0.0,2284.71,New York,SELL00948,high,20,636.5,2036.8,2546.0,127.30000000000001,25.000000000000007,Friday
ORD0002496,2023-07-31,CUST041949,P00003,4,486.39,0.0,2050.99,Chicago,SELL00348,low,63,476.6622,1945.56,1906.6488,-9.727800000000002,-2.0000000000000004,Monday
ORD0080297,2023-12-02,CUST014717,P00043,1,274.18,0.0,310.59,San Jose,SELL01276,low,50,295.56604,274.18,295.56604,21.38603999999998,7.799999999999993,Saturday
ORD0019448,2020-07-17,CUST039076,P00022,1,344.13,0.0,364.13,Indianapolis,SELL01739,low,116,320.38503,344.13,320.38503,-23.744970000000023,-6.9000000000000075,Friday
ORD0041332,2020-02-12,CUST045676,P00028,5,564.67,0.25,2505.17,Columbus,SELL01334,low,59,553.3765999999999,2823.35,2766.883,-11.29340000000002,-2.0000000000000036,Wednesday
ORD0014889,2020-06-14,CUST018656,P00024,1,522.61,0.0,549.03,New York,SELL00469,high,95,718.5887500000001,522.61,718.5887500000001,195.9787500000001,37.500000000000014,Sunday
ORD0088637,2021-02-11,CUST044292,P00012,2,330.68,0.0,725.88,Philadelphia,SELL00806,low,13,388.87967999999995,661.36,777.7593599999999,58.199679999999944,17.599999999999984,Thursday
ORD0094893,2024-08-01,CUST027426,P00019,2,437.39,0.0,925.25,Charlotte,SELL01867,high,142,519.4006249999999,874.78,1038.8012499999998,82.01062499999989,18.749999999999975,Thursday
ORD0092732,2021-04-05,CUST010231,P00036,5,333.4,0.15,1530.91,Fort Worth,SELL00366,high,131,395.91249999999997,1667.0,1979.5624999999998,62.51249999999999,18.749999999999996,Monday
ORD0029131,2022-11-24,CUST000209,P00010,3,555.25,0.3,1239.15,Fort Worth,SELL01209,low,105,516.9377499999999,1665.75,1550.8132499999997,-38.31225000000006,-6.900000000000012,Thursday
ORD0079023,2024-04-06,CUST022147,P00025,5,59.45,0.25,256.11,Houston,SELL00509,high,130,77.6565625,297.25,388.28281250000003,18.206562500000004,30.625000000000007,Saturday
ORD0084937,2024-08-25,CUST038220,P00014,3,501.11,0.1,1471.44,Chicago,SELL01714,low,93,540.19658,1503.33,1620.5897400000001,39.086580000000026,7.800000000000005,Sunday
ORD0016822,2022-07-18,CUST039086,P00005,4,397.29,0.05,1639.07,Los Angeles,SELL01875,high,108,471.781875,1589.16,1887.1275,74.491875,18.749999999999996,Monday
ORD0036734,2024-07-14,CUST024276,P00005,3,258.65,0.15,660.8,Phoenix,SELL01913,low,33,278.8247,775.9499999999999,836.4741,20.17470000000003,7.800000000000012,Sunday
ORD0015603,2021-04-19,CUST049051,P00038,3,443.07,0.1,1197.24,San Antonio,SELL00679,low,138,412.49816999999996,1329.21,1237.49451,-30.571830000000034,-6.9000000000000075,Monday
ORD0028534,2023-08-11,CUST012233,P00017,2,512.82,0.05,1052.72,Charlotte,SELL01973,high,46,641.0250000000001,1025.64,1282.0500000000002,128.20500000000004,25.000000000000007,Friday
ORD0069770,2024-07-21,CUST009057,P00013,4,157.14,0.0,683.47,Los Angeles,SELL01617,low,78,169.39692,628.56,677.58768,12.256920000000008,7.800000000000005,Sunday
ORD0011406,2024-03-07,CUST049991,P00018,4,265.13,0.0,1118.03,San Diego,SELL01182,high,17,397.695,1060.52,1590.78,132.565,50.0,Thursday
ORD0096853,2022-11-17,CUST049442,P00027,5,503.06,0.2,2185.69,Philadelphia,SELL01012,low,130,468.34886,2515.3,2341.7443,-34.71114,-6.9,Thursday
ORD0016131,2022-05-24,CUST026050,P00027,1,84.48,0.1,77.74,Dallas,SELL01372,low,126,78.65088,84.48,78.65088,-5.829120000000003,-6.900000000000003,Tuesday
ORD0019793,2023-09-21,CUST025723,P00001,1,129.87,0.0,156.5,San Jose,SELL01033,high,105,154.22062499999998,129.87,154.22062499999998,24.35062499999998,18.749999999999982,Thursday
ORD0089578,2022-03-10,CUST020784,P00034,5,488.32,0.0,2643.55,Seattle,SELL00676,low,47,478.55359999999996,2441.6,2392.768,-9.766400000000033,-2.0000000000000067,Thursday
ORD0040164,2021-10-25,CUST008456,P00012,5,550.11,0.0,2900.89,Chicago,SELL00497,high,60,687.6375,2750.55,3438.1875,137.52750000000003,25.000000000000007,Monday
ORD0031777,2024-02-07,CUST015813,P00022,5,225.7,0.05,1202.68,Los Angeles,SELL00577,low,82,221.18599999999998,1128.5,1105.9299999999998,-4.51400000000001,-2.0000000000000044,Wednesday
ORD0025331,2020-09-22,CUST014980,P00050,1,492.21,0.05,496.15,Charlotte,SELL00675,high,30,615.2624999999999,492.21,615.2624999999999,123.05249999999995,24.999999999999993,Tuesday
ORD0079157,2021-04-29,CUST010310,P00023,2,554.19,0.1,1049.15,Los Angeles,SELL00758,low,148,515.9508900000001,1108.38,1031.9017800000001,-38.23910999999998,-6.899999999999997,Thursday
ORD0051686,2021-03-26,CUST046424,P00034,5,349.77,0.0,1899.51,Fort Worth,SELL01873,low,44,342.77459999999996,1748.85,1713.8729999999998,-6.995400000000018,-2.0000000000000053,Friday
ORD0075499,2022-01-01,CUST016163,P00026,5,112.12,0.2,502.38,Phoenix,SELL01840,high,129,146.45675000000003,560.6,732.2837500000002,34.33675000000002,30.625000000000018,Saturday
ORD0004728,2020-06-10,CUST002696,P00028,3,378.03,0.0,1230.9,Los Angeles,SELL01978,low,41,370.46939999999995,1134.09,1111.4081999999999,-7.560600000000022,-2.0000000000000058,Wednesday
ORD0085199,2021-10-19,CUST036779,P00039,3,451.31,0.15,1300.99,Seattle,SELL00143,low,108,420.16961,1353.93,1260.50883,-31.140390000000025,-6.900000000000006,Tuesday
ORD0035796,2020-11-06,CUST018141,P00043,5,83.97,0.05,427.19,San Francisco,SELL00387,high,115,99.714375,419.85,498.57187500000003,15.744375000000005,18.750000000000007,Friday
ORD0012257,2024-04-29,CUST038211,P00008,5,486.1,0.1,2452.89,Houston,SELL01824,low,39,476.378,2430.5,2381.89,-9.722000000000037,-2.000000000000007,Monday
